date,cellCount,totalMines,passAMoves,canonicalSubsetMoves,genericSubsetMoves,advancedLogicMoves,disjunctiveMoves,wallEdgeCount,zeroClusterCount,fa_count,fb_count,fa_11,fb_11,fa_12,fb_12,fa_hole,fb_hole,fa_triangle,fb_triangle,fa_121,fb_121,fa_1221,fb_1221,fa_131,fb_131,fa_222,fb_222,fa_pair,fb_pair,fa_region,fb_region
2026-06-09,132,25,49,1,2,0,0,0,5,25,0,3,21,8,7,0,0,0,0,7,3,0,0,0,1,0,3,7,6,3,11
2026-06-10,99,18,45,0,0,0,0,0,3,36,0,2,8,6,14,3,0,0,0,0,0,0,0,0,0,0,0,2,15,2,9
2026-06-11,96,26,42,0,0,0,0,0,1,25,0,1,2,1,9,3,0,0,0,0,0,0,0,0,0,0,0,2,13,10,18
2026-06-12,80,19,39,0,0,0,0,0,2,31,0,1,12,2,4,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,21
2026-06-13,64,16,16,0,0,13,0,0,4,23,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,5,8,0,15
2026-06-14,90,27,36,0,0,0,0,0,2,24,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,12,6,7
2026-06-15,120,34,57,2,0,0,0,0,5,33,4,2,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,15,5,9,9
2026-06-16,120,25,53,0,0,0,0,0,4,28,0,13,18,1,2,6,7,0,5,1,1,0,0,0,0,0,3,3,9,2,7
2026-06-18,90,21,40,0,0,0,0,0,4,24,0,3,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,4,13,9,12
2026-06-19,120,24,36,1,3,0,0,0,4,35,0,0,10,9,9,0,4,0,1,5,1,0,0,0,0,0,0,1,18,4,3
2026-06-20,132,22,47,1,0,0,0,0,3,24,0,3,11,2,8,6,0,0,0,3,2,0,0,0,0,2,3,3,14,6,11
2026-06-21,72,10,13,0,0,0,0,0,2,10,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,3
2026-06-22,120,36,53,2,0,8,0,0,4,47,0,0,4,4,2,4,3,0,0,0,0,0,0,0,0,1,1,3,9,3,6
2026-06-23,108,21,42,2,0,0,0,0,3,27,0,6,10,0,7,2,3,0,1,0,0,0,0,0,3,0,0,7,15,3,6
