date,uid,time,bombBaseSum,bombHits,n_hints,archive
2026-06-07,AYXrTjKPieYrZI8sksnYqbI3Pmh1,86.1,0,0,0,0
2026-06-08,V07QPXYaICOOcP5ev6DXa2yG9y92,62.4,0,0,0,0
2026-06-08,AYXrTjKPieYrZI8sksnYqbI3Pmh1,89.7,0,0,0,0
2026-06-08,l0szSlaOvVb67aYrDzNU7j687BC3,178.1,0,0,0,0
2026-06-09,V07QPXYaICOOcP5ev6DXa2yG9y92,80.3,3,1,0,0
2026-06-09,AYXrTjKPieYrZI8sksnYqbI3Pmh1,73,0,0,0,0
2026-06-10,l0szSlaOvVb67aYrDzNU7j687BC3,86.5,0,0,0,0
2026-06-10,AYXrTjKPieYrZI8sksnYqbI3Pmh1,47.2,0,0,0,0
2026-06-10,V07QPXYaICOOcP5ev6DXa2yG9y92,68.1,3,1,0,0
2026-06-11,l0szSlaOvVb67aYrDzNU7j687BC3,139.5,0,0,0,0
2026-06-11,V07QPXYaICOOcP5ev6DXa2yG9y92,114.3,3,1,0,0
2026-06-11,AYXrTjKPieYrZI8sksnYqbI3Pmh1,74.3,7.5,2,0,0
2026-06-11,LZYTKQu8mpQGCkZEZNe8WnE1Qdn1,582.1,30,5,0,0
2026-06-12,l0szSlaOvVb67aYrDzNU7j687BC3,112.3,0,0,0,0
2026-06-12,V07QPXYaICOOcP5ev6DXa2yG9y92,78.6,7.5,2,0,0
2026-06-12,AYXrTjKPieYrZI8sksnYqbI3Pmh1,63.9,0,0,0,0
2026-06-13,V07QPXYaICOOcP5ev6DXa2yG9y92,37.8,0,0,0,0
2026-06-13,AYXrTjKPieYrZI8sksnYqbI3Pmh1,43.3,0,0,0,0
2026-06-14,l0szSlaOvVb67aYrDzNU7j687BC3,109.6,0,0,0,0
2026-06-14,V07QPXYaICOOcP5ev6DXa2yG9y92,131.1,13.5,3,0,0
2026-06-14,AYXrTjKPieYrZI8sksnYqbI3Pmh1,172.3,21,4,0,0
2026-06-14,56eI3F8Cx6XVCe20SPkeeLY7yFN2,223.1,40.5,6,0,0
2026-06-15,AYXrTjKPieYrZI8sksnYqbI3Pmh1,86.1,0,0,0,0
2026-06-15,V07QPXYaICOOcP5ev6DXa2yG9y92,164.4,7.5,2,0,0
2026-06-15,l0szSlaOvVb67aYrDzNU7j687BC3,213.6,0,0,0,0
2026-06-15,56eI3F8Cx6XVCe20SPkeeLY7yFN2,539.3,0,0,0,0
2026-06-15,WKxbnzEyqXNUrg6IXopVxkPFiS73,977.5,943.5,34,0,0
2026-06-16,l0szSlaOvVb67aYrDzNU7j687BC3,126.1,0,0,0,0
2026-06-16,V07QPXYaICOOcP5ev6DXa2yG9y92,68.9,0,0,0,0
2026-06-01,56eI3F8Cx6XVCe20SPkeeLY7yFN2,241.5,21,4,0,1
